State,Region,Population
Alabama,South,5024279
Alaska,West,733391
Arizona,West,7151502
Arkansas,South,3011524
California,West,39538223
Colorado,West,5773714
Connecticut,Northeast,3605944
Delaware,Northeast,989948
District of Columbia,Northeast,689545
Florida,South,21538187
Georgia,South,10711908
Hawaii,West,1455271
Idaho,West,1839106
Illinois,Midwest,12812508
Indiana,Midwest,6785528
Iowa,Midwest,3190369
Kansas,Midwest,2937880
Kentucky,South,4505836
Louisiana,South,4657757
Maine,Northeast,1362359
Maryland,Northeast,6177224
Massachusetts,Northeast,7029917
Michigan,Midwest,10077331
Minnesota,Midwest,5706494
Mississippi,South,2961279
Missouri,Midwest,6154913
Montana,West,1084225
Nebraska,Midwest,1961504
Nevada,West,3104614
New Hampshire,Northeast,1377529
New Jersey,Northeast,9288994
New Mexico,West,2117522
New York,Northeast,20201249
North Carolina,South,10439388
North Dakota,Midwest,779094
Ohio,Midwest,11799448
Oklahoma,South,3959353
Oregon,West,4237256
Pennsylvania,Northeast,13002700
Rhode Island,Northeast,1097379
South Carolina,South,5118425
South Dakota,Midwest,886667
Tennessee,South,6910840
Texas,South,29145505
Utah,West,3271616
Vermont,Northeast,643077
Virginia,South,8631393
Washington,West,7705281
West Virginia,South,1793716
Wisconsin,Midwest,5893718
Wyoming,West,576851
